institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url,course_scope
SmartMathPro,พิชิตสถิติและการแจกแจงความน่าจะเป็น,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,39.0,1990.0,51.03,https://online.smartmathpro.com/product/f014/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.4 เทอม 1+2 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,166.0,5850.0,35.24,https://online.smartmathpro.com/product/e022/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม),พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,230.0,6790.0,29.52,https://online.smartmathpro.com/product/m112/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level ไทย-สังคม (V.รวบรัด),"อ.ขลุ่ย, ครูกอล์ฟ",ภาษาไทย-สังคมศึกษา,คอร์สแพ็กเกจ,วิดีโอออนไลน์,50.0,2290.0,45.8,https://online.smartmathpro.com/product/p003/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม + Mock Test Vol.1-4),พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,74.0,2790.0,37.7,https://online.smartmathpro.com/product/d041/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.5 เทอม 1+2 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,136.0,5450.0,40.07,https://online.smartmathpro.com/product/e028/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม) + ชีววิทยา (V.รวบรัด) + ภาษาอังกฤษ (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู, พี่ฟาร์ม PhysicsFarm, พี่หนุ่ม",ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),คอร์สแพ็กเกจ,วิดีโอออนไลน์,632.0,21490.0,34.0,https://online.smartmathpro.com/product/m127/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต TPAT5 (V.เต็ม),ครูกอล์ฟ,ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,15.0,790.0,52.67,https://online.smartmathpro.com/product/v001/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตตรีโกณมิติ,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,38.0,1590.0,41.84,https://online.smartmathpro.com/product/f007/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตเมทริกซ์,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,13.0,850.0,65.38,https://online.smartmathpro.com/product/f009/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,PACK Buffet เนื้อหาคณิตม.ปลาย ม.5 – ม.6,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,207.0,8150.0,39.37,https://online.smartmathpro.com/product/q005/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,26.0,1190.0,45.77,https://online.smartmathpro.com/product/k001/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,PACK A-Level ภาษาไทย (V.เต็ม + Mock Test Vol.1),อ.ขลุ่ย,ภาษาไทย,คอร์สแพ็กเกจ,วิดีโอออนไลน์,45.0,1750.0,38.89,https://online.smartmathpro.com/product/p022/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,"พิชิต A-Level คณิต 1 เล่ม 1,2",พี่ปั้น SmartMathPro,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,160.0,4890.0,30.56,https://online.smartmathpro.com/product/m110/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต A-Level คณิต 2 (V.เต็ม),พี่ปั้น SmartMathPro,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,60.0,2190.0,36.5,https://online.smartmathpro.com/product/d040/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 2 (V.เต็ม + ตะลุยโจทย์) + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,136.0,4650.0,34.19,https://online.smartmathpro.com/product/d064/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม + ตะลุยโจทย์ + Mock Test Vol.1-6),พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,391.0,10450.0,26.73,https://online.smartmathpro.com/product/m115/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตการนับและความน่าจะเป็น,พี่ปั้น SmartMathPro,อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,24.0,1390.0,57.92,https://online.smartmathpro.com/product/f011/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,PACK Buffet เนื้อหาคณิตม.ปลาย ม.5 – ม.6 + ปรับพื้นคณิตพิชิตม.ปลาย,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,233.0,8990.0,38.58,https://online.smartmathpro.com/product/q006/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต A-Level ภาษาอังกฤษ (V.เต็ม),พี่หนู,ภาษาอังกฤษ,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,50.0,3290.0,65.8,https://online.smartmathpro.com/product/y007/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม) + ชีววิทยา (V.รวบรัด),"พี่ปั้น SmartMathPro, พี่หนุ่ม",คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,310.0,8950.0,28.87,https://online.smartmathpro.com/product/m121/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,ตะลุยข้อสอบ A-Level คณิต 2,พี่ปั้น SmartMathPro,คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,50.0,1790.0,35.8,https://online.smartmathpro.com/product/d008/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK คณิต ม.5 เทอม 1+2,พี่ปั้น SmartMathPro,คณิตศาสตร์,คอร์สแพ็กเกจ,วิดีโอออนไลน์,110.0,4550.0,41.36,https://online.smartmathpro.com/product/e008/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK TPAT1 (ครบ 3 พาร์ต) + A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม) + ชีววิทยา (V.รวบรัด) + ภาษาอังกฤษ (V.เต็ม) + ไทย-สังคม (V.รวบรัด),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู, พี่ฟาร์ม PhysicsFarm, ครูกอล์ฟ, พี่หนุ่ม, พี่หมออู๋",แพ็กเกจเตรียมสอบแพทย์ (กสพท/TPAT1),คอร์สแพ็กเกจ,วิดีโอออนไลน์,661.0,23450.0,35.48,https://online.smartmathpro.com/product/c032/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK A-Level ไทย-สังคม (V.เต็ม + ตะลุยโจทย์ + Mock Test Vol.1),"อ.ขลุ่ย, ครูกอล์ฟ",ภาษาไทย-สังคมศึกษา,คอร์สแพ็กเกจ,วิดีโอออนไลน์,167.0,5250.0,31.44,https://online.smartmathpro.com/product/p026/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,PACK TPAT3 (V.เต็ม) + A-Level คณิต 1 (V.เต็ม) + ฟิสิกส์ (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู, พี่ฟาร์ม PhysicsFarm",แพ็กเกจเตรียมสอบวิศวะ (TPAT3),คอร์สแพ็กเกจ,วิดีโอออนไลน์,578.0,18790.0,32.51,https://online.smartmathpro.com/product/r026/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิตฟิสิกส์แผนใหม่,พี่ฟาร์ม PhysicsFarm,ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,24.0,1250.0,52.08,https://online.smartmathpro.com/product/x007/,Chapter (คอร์สเนื้อหาแยกบท)
SmartMathPro,PACK A-Level คณิต 1 (V.เต็ม) + ภาษาอังกฤษ (V.เต็ม) + TGAT (V.เต็ม),"พี่ปั้น SmartMathPro, อ.ขลุ่ย, พี่หนู",ความถนัด (TGAT/TPAT/สอบเฉพาะทาง),คอร์สแพ็กเกจ,วิดีโอออนไลน์,375.0,12090.0,32.24,https://online.smartmathpro.com/product/m124/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
SmartMathPro,พิชิต A-Level สังคมศึกษา (V.เต็ม),ครูกอล์ฟ,สังคมศึกษา,ติวเนื้อหา/เสริมเกรด,วิดีโอออนไลน์,79.0,2190.0,27.72,https://online.smartmathpro.com/product/p020/,Full Course (คอร์สเตรียมสอบ/รวมเทอม)
