institute_name,course_name,tutor,subject,course_type,learning_format,total_hours,price,price_per_hour,url
Panya Society,เคมี ม. 4 เทอม 1 วิเคราะห์เก่ง แก้โจทย์เป็น เห็นเป็นภาพ โดยอาจารย์นัท,"ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท)",เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/104
Panya Society,TGAT วิชาวัดความถนัดทั่วไป (Thai General Aptitude Test),"สุปิติ บูรณวัฒนาโชค (อ. แชร์), จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), ตวงรัตน์ แสงโชติ (อ.ตวง)",ความถนัด/TGAT/TPAT,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,2490.0,103.75,https://panyasociety.com/course/preview/151
Panya Society,Pack ติวสอบวิศวะ TPAT3 + TGAT โดยวิศวกรตัวจริง,"สุปิติ บูรณวัฒนาโชค (อ. แชร์), จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), ตวงรัตน์ แสงโชติ (อ.ตวง)",ความถนัด/TGAT/TPAT,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,3990.0,166.25,https://panyasociety.com/course/preview/161
Panya Society,Pack เพิ่มเกรด ม.5 - ฟิสิกส์,สุปิติ บูรณวัฒนาโชค (อ. แชร์),ฟิสิกส์,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,3490.0,145.42,https://panyasociety.com/course/preview/172
Panya Society,คณิตศาสตร์ TCAS ติดอาวุธลับ UpScore,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",คณิตศาสตร์,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),24.0,2490.0,103.75,https://panyasociety.com/course/preview/111
Panya Society,คณิตศาสตร์ A-Level (เลขหลัก (พื้นฐาน) + เลขเสริม (เพิ่มเติม) ),"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",คณิตศาสตร์,ปูพื้นฐาน,วิดีโอ (ออนไลน์),24.0,3990.0,166.25,https://panyasociety.com/course/preview/150
Panya Society,Panya Society,ดร.ณัฏฐพล อิสรเสรีรักษ์ (พี่นัท),อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,0.0,0.0,https://panyasociety.com/course/preview/130
Panya Society,Pack สอบติด TCAS ฟิสิกส์ + คณิตศาสตร์ A-Level,"สุปิติ บูรณวัฒนาโชค (อ. แชร์), ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",Mixed,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),24.0,6990.0,291.25,https://panyasociety.com/course/preview/121
Panya Society,เคมี ม. 5 เทอม 2 วิเคราะห์เก่ง แก้โจทย์เป็น เห็นเป็นภาพ โดยอาจารย์นัท,"ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท)",เคมี,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/107
Panya Society,Pack ติวสอบวิศวะ ฟิสิกส์ เคมี และ คณิตศาสตร์ A-Level + TPAT3 + TGAT โดยวิศวกรตัวจริง,"สุปิติ บูรณวัฒนาโชค (อ. แชร์), ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), ตวงรัตน์ แสงโชติ (อ.ตวง)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,12990.0,541.25,https://panyasociety.com/course/preview/177
Panya Society,TCAS BOOSTER สายศิลป์,"จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), ธราดล รานรินทร์ (อ.นิว), ตวงรัตน์ แสงโชติ (อ.ตวง)",อื่นๆ,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),24.0,990.0,41.25,https://panyasociety.com/course/preview/75
Panya Society,Panya Society,สุปิติ บูรณวัฒนาโชค (พี่แชร์),อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,0.0,0.0,https://panyasociety.com/course/preview/50
Panya Society,คณิตศาสตร์ 2 A-Level,ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต),คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,2490.0,103.75,https://panyasociety.com/course/preview/132
Panya Society,Pack FAST ฟิสิกส์ + คณิตศาสตร์ A-Level,"สุปิติ บูรณวัฒนาโชค (อ. แชร์), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,2990.0,124.58,https://panyasociety.com/course/preview/141
Panya Society,● TGAT Eng + A-Level Eng ●,N/A,Mixed,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,5000.0,208.33,https://panyasociety.com/course/preview/65
Panya Society,Pack เคมี + คณิตศาสตร์ TCAS ติดอาวุธลับ UpScore,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",Mixed,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),24.0,3990.0,166.25,https://panyasociety.com/course/preview/118
Panya Society,Pack เพิ่มเกรด ม.5 - เคมี,ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท),เคมี,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,3490.0,145.42,https://panyasociety.com/course/preview/173
Panya Society,คณิตศาสตร์เสริม ม.5 เทอม 1 คิดคล่อง ไม่ท่องจำ ทำโจทย์ได้ โดย อ.นอต,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), ดร.ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต)",คณิตศาสตร์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/149
Panya Society,ข้อสอบจำลอง TPAT3 ความถนัดด้านวิทยาศาสตร์ เทคโนโลยี และวิศวกรรมศาสตร์,สุปิติ บูรณวัฒนาโชค (อ. แชร์),ความถนัด/TGAT/TPAT,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,190.0,7.92,https://panyasociety.com/course/preview/175
Panya Society,Pack ติวสอบวิศวะ ฟิสิกส์ A-Level + TPAT3 โดยวิศวกรตัวจริง,สุปิติ บูรณวัฒนาโชค (อ. แชร์),Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,4990.0,207.92,https://panyasociety.com/course/preview/125
Panya Society,Panya Society,"ดร.ภาณุ ตรัยเวช (อ.ปลาทู), ดร.พีร์ จารุอำพรพรรณ (อ.พี)",อื่นๆ,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,0.0,0.0,https://panyasociety.com/course/preview/19
Panya Society,ฟิสิกส์ ม.5 เทอม 2 (หลักสูตรใหม่) เรียนสนุก ทำโจทย์คล่อง คะแนนเยี่ยม โดยอาจารย์แชร์,"สุปิติ บูรณวัฒนาโชค (อ.แชร์), สุปิติ บูรณวัฒนาโชค (อ. แชร์)",ฟิสิกส์,ติวเนื้อหา/เสริมเกรด,วิดีโอ (ออนไลน์),24.0,1990.0,82.92,https://panyasociety.com/course/preview/60
Panya Society,Pack ติวสอบวิศวะ ฟิสิกส์ และ คณิตศาสตร์ A-Level + TPAT3 + TGAT โดยวิศวกรตัวจริง,"ธรรมนิติ์ พิพัฒน์ศรีสวัสดิ์ (อ.นอต), สุปิติ บูรณวัฒนาโชค (อ. แชร์), จารุกิตติ์ วิทยาปัญญานนท์ (อ.ชาร์ป), ตวงรัตน์ แสงโชติ (อ.ตวง)",Mixed,คอร์สแพ็กเกจ,วิดีโอ (ออนไลน์),24.0,9990.0,416.25,https://panyasociety.com/course/preview/129
Panya Society,Pack ฟิสิกส์ + เคมี TCAS ติดอาวุธลับ UpScore,"สุปิติ บูรณวัฒนาโชค (อ.แชร์), สุปิติ บูรณวัฒนาโชค (อ. แชร์), ดร.ณัฏฐพล อิสรเสรีรักษ์ (อ.นัท)",Mixed,ติวสอบ A-Level/TCAS,วิดีโอ (ออนไลน์),24.0,3990.0,166.25,https://panyasociety.com/course/preview/52
